User Input,Bot Response
Hi,Hello! How can I help you today?
Hello,Hi there! What can I do for you?
Hey,Hey! How can I assist you?
Good morning,Good morning! How can I help you today?
Good afternoon,Good afternoon! What do you need help with?
Good evening,Good evening! How can I be of service?
How are you?,"I'm just a bot, but I'm here to help you!"
What's your name?,"I'm WanderMate, your virtual assistant."
Who are you?,I'm an AI chatbot designed to assist you.
What can you do?,I can help answer your questions or provide information on various topics.
Help,Sure! What do you need help with?
Can you assist me?,Of course! What do you need assistance with?
Thank you,"You're welcome! If you have any more questions, feel free to ask."
Thanks,No problem! How else can I assist you?
Bye,Goodbye! Have a great day!
See you later,See you! Take care!
