Category,Question,Answer
General Information,What is Kathmandu Durbar Square?,"Kathmandu Durbar Square is a historic site in the heart of Kathmandu, known for its palaces, temples, and courtyards."
General Information,Where is Kathmandu Durbar Square located?,"It is located in central Kathmandu, near the Thamel area."
General Information,Why is Kathmandu Durbar Square important?,"It was the royal palace of the Malla kings and later the Shah dynasty, serving as the center of administration and culture."
Historical and Cultural Significance,What is the historical significance of Kathmandu Durbar Square?,"It was the royal palace of the Malla kings and later the Shah dynasty, serving as the center of administration and culture."
Historical and Cultural Significance,Which festivals are celebrated at Kathmandu Durbar Square?,"Major festivals include Indra Jatra, Dashain, and Kumari Jatra."
Historical and Cultural Significance,"What are some of the key landmarks in Kathmandu Durbar Square, and their founding dates?","The First Royal Palace: 11th century by Shankaradev
Kasthamandap Temple: 12th century by Laxmi Nar Singh Malla, renovated in the 16th century
Taleju Temple: 1564 by Ratna Malla
Hanuman Dhoka Palace: 17th century, constructed by multiple kings of the Lichhavi and Shah dynasties
Nautale Durbar (Basantapur Durbar): 1770 by Prithvi Narayan Shah
Kumari Ghar: 1757 by Jaya Prakash Malla"
Historical and Cultural Significance,What can you tell me about the Hanuman Dhoka Palace?,"The Hanuman Dhoka Palace, built in the 17th century, is now open to the public as a museum. It is named after the deity Hanuman, whose statue is located at the palace entrance"
Historical and Cultural Significance,"What is the significance of the Old Royal Palace, also known as Basantapur Durbar?","The Old Royal Palace, or Basantapur Durbar, is a complex of courtyards and temples from the old royal lands and structures. It was constructed over time by various kings of the Lichhavi and Shah dynasties."
Historical and Cultural Significance,"What is the Temple of the Living Goddess, and what is its historical background?","What is the Temple of the Living Goddess, and what is its historical background?"
Historical and Cultural Significance,What is known about the establishment of Kathmandu Durbar Square?,"The exact date of its establishment is unknown, but Shankaradev is credited with constructing the palace in the 11th century. The square grew around the palace and the Taleju Bhawani Temple, which was built by Ratna Malla in the 16th century"
Historical and Cultural Significance,Who built Kathmandu Durbar Square?,The square was developed over centuries by various Malla kings.
Architecture,What are the main architectural highlights of Kathmandu Durbar Square?,"Key highlights include the Hanuman Dhoka Palace, Taleju Temple, and the statue of Kal Bhairav."
Architecture,Can you tell me about the Hanuman Dhoka Palace?,The Hanuman Dhoka Palace is an ancient palace complex that served as the royal residence and administrative center.
Architecture,What is the Taleju Temple?,"The Taleju Temple is a three-story temple dedicated to the goddess Taleju, built in 1564."
